1, 537 1 69 101 457;
2, 478 1 76 90 448;
3, 450 1 71 90 538;
4, 485 1 73 84 502;
5, 444 1 74 77 460;
6, 482 1 71 86 438;
7, 454 2 61 70 475;
8, 435 2 62 95 445;
9, 437 2 64 82 448;
10, 443 2 66 75 445;
11, 433 2 68 93 457;
12, 452 2 62 95 260;
13, 488 1 71 95 471;
14, 450 1 78 88 544;
15, 442 1 73 98 664;
16, 466 1 74 95 484;
17, 432 1 76 101 474;
18, 439 1 73 103 458;
19, 469 2 62 82 478;
20, 437 2 64 86 445;
21, 440 2 66 81 454;
22, 430 2 68 81 458;
23, 469 2 69 90 445;
24, 485 2 64 71 435;
25, 454 1 69 111 445;
26, 454 1 71 101 462;
27, 458 1 73 88 244;
28, 1421 2 71 67 432;
29, 432 2 69 86 -999;
30, 434 1 71 82 447;
31, 444 1 69 90 -999;
