1, 542 2 69 46 566;
2, 499 2 71 74 529;
3, 498 2 73 78 548;
4, 526 2 74 95 548;
5, 501 2 73 72 540;
6, 523 2 76 106 650;
7, 501 1 66 78 536;
8, 508 1 68 78 383;
9, 464 1 61 57 581;
10, 497 1 62 86 480;
11, 483 1 64 82 519;
12, 505 1 62 79 458;
13, 561 2 71 54 564;
14, 506 2 73 84 564;
15, 526 2 74 106 519;
16, 509 2 76 111 532;
17, 507 2 74 106 537;
18, 510 2 78 98 599;
19, 518 1 68 88 562;
20, 523 1 69 101 465;
21, 516 1 62 63 615;
22, 523 1 64 77 578;
23, 504 1 66 68 557;
24, 485 1 64 71 541;
25, 498 2 69 52 562;
26, 501 2 71 74 530;
27, 479 2 73 81 542;
28, 515 2 74 101 600;
29, 508 2 73 75 611;
30, 527 1 71 69 548;
31, 497 1 69 71 -999;
