1, 508 1 69 90 448;
2, 447 1 76 95 410;
3, 422 1 71 77 425;
4, 409 1 73 88 389;
5, 408 1 74 79 377;
6, 417 1 71 79 385;
7, 404 2 61 72 458;
8, 432 2 62 90 411;
9, 421 2 64 101 426;
10, 385 2 66 84 432;
11, 399 2 68 84 414;
12, 428 2 62 65 297;
13, 417 1 71 79 463;
14, 406 1 78 78 447;
15, 400 1 73 81 408;
16, 410 1 74 86 389;
17, 410 1 76 82 392;
18, 399 1 73 81 446;
19, 405 2 62 77 479;
20, 423 2 64 86 424;
21, 397 2 66 84 469;
22, 417 2 68 98 477;
23, 428 2 69 86 391;
24, 414 2 64 67 391;
25, 428 1 69 101 453;
26, 422 1 71 79 426;
27, 393 1 73 81 412;
28, 426 1 74 86 516;
29, 431 2 73 84 401;
30, 402 1 71 74 400;
31, 435 1 69 86 -999;
