1, 512 1 69 82 550;
2, 486 1 73 88 527;
3, 489 1 76 90 534;
4, 488 1 74 79 527;
5, 480 1 73 72 486;
6, 474 1 71 71 429;
7, 498 2 61 68 457;
8, 453 2 64 90 515;
9, 481 2 68 103 538;
10, 494 2 66 81 535;
11, 501 2 64 95 476;
12, 475 2 62 101 588;
13, 512 1 71 77 517;
14, 476 1 74 86 513;
15, 477 1 78 88 505;
16, 489 1 76 79 456;
17, 467 1 74 90 496;
18, 483 1 73 88 441;
19, 489 2 62 48 512;
20, 483 2 66 78 515;
21, 484 2 69 101 534;
22, 477 2 68 88 511;
23, 471 2 66 78 499;
24, 464 2 64 90 559;
25, 508 1 69 86 533;
26, 502 1 71 74 514;
27, 475 1 73 84 507;
28, 519 2 74 86 553;
29, 461 2 73 75 517;
30, 491 2 71 82 525;
31, 503 2 69 82 -999;
