1, 527 2 69 63 472;
2, 471 2 71 77 508;
3, 495 2 73 81 519;
4, 487 2 74 101 523;
5, 497 2 73 72 521;
6, 507 2 76 95 491;
7, 505 1 66 78 450;
8, 456 1 68 88 472;
9, 442 1 61 70 520;
10, 470 1 62 95 490;
11, 475 1 64 101 502;
12, 481 1 62 95 514;
13, 508 2 71 71 534;
14, 499 2 73 81 479;
15, 452 2 74 86 495;
16, 510 2 76 101 497;
17, 495 2 74 95 476;
18, 451 2 78 93 517;
19, 473 1 68 103 464;
20, 474 1 69 82 508;
21, 469 1 62 90 539;
22, 489 1 64 101 484;
23, 455 1 66 78 499;
24, 468 1 64 106 624;
25, 492 2 69 65 481;
26, 462 2 71 79 537;
27, 493 2 73 78 501;
28, 503 2 74 101 519;
29, 476 2 73 75 566;
30, 541 2 71 71 425;
31, 522 1 69 74 -999;
