1, 541 2 69 54 508;
2, 525 2 71 63 477;
3, 470 2 73 62 485;
4, 496 2 74 69 608;
5, 572 2 73 72 413;
6, 457 2 76 86 208;
7, 562 1 66 81 447;
8, 439 1 68 93 501;
9, 444 1 61 32 542;
10, 501 1 62 90 549;
11, 504 1 64 101 493;
12, 476 1 62 90 468;
13, 533 2 71 36 534;
14, 487 2 73 55 483;
15, 494 2 74 77 456;
16, 485 2 76 71 436;
17, 469 2 74 77 446;
18, 437 2 78 70 434;
19, 527 1 68 84 520;
20, 487 1 69 95 447;
21, 472 1 62 50 478;
22, 465 1 64 90 536;
23, 485 1 66 78 501;
24, 466 1 64 95 441;
25, 411 2 69 56 471;
26, 472 2 71 63 491;
27, 481 2 73 57 474;
28, 513 1 74 86 505;
29, 471 2 73 70 457;
30, 460 2 71 69 475;
31, 489 1 69 90 258;
