1, 558 1 69 106 488;
2, 488 1 76 95 488;
3, 469 1 71 90 531;
4, 488 1 73 84 454;
5, 456 1 74 86 473;
6, 474 1 71 90 473;
7, 613 2 61 66 488;
8, 458 2 62 95 476;
9, 470 2 64 86 463;
10, 439 2 66 81 485;
11, 473 2 68 93 431;
12, 442 2 62 77 225;
13, 485 1 71 82 486;
14, 478 1 78 88 496;
15, 463 1 73 103 619;
16, 469 1 74 95 520;
17, 482 1 76 95 336;
18, 439 1 73 81 505;
19, 482 2 62 61 494;
20, 475 2 64 82 503;
21, 456 2 66 66 522;
22, 480 2 68 64 472;
23, 473 2 69 77 451;
24, 479 2 62 69 285;
25, 465 1 69 101 420;
26, 418 1 71 90 476;
27, 484 1 73 88 445;
28, 473 1 74 86 478;
29, 457 1 73 81 473;
30, 473 1 71 86 430;
31, 435 1 69 101 -999;
