1, 516 1 69 74 526;
2, 476 1 73 84 494;
3, 491 1 76 86 533;
4, 491 1 74 90 569;
5, 511 1 73 78 557;
6, 518 1 71 86 472;
7, 501 2 61 70 550;
8, 516 2 64 90 512;
9, 494 2 68 93 544;
10, 508 2 66 88 567;
11, 529 2 64 79 469;
12, 494 2 62 82 529;
13, 524 1 71 69 544;
14, 507 1 74 82 515;
15, 492 1 78 84 566;
16, 511 1 76 90 546;
17, 507 1 74 82 577;
18, 524 1 73 81 496;
19, 550 2 62 50 592;
20, 503 2 66 72 508;
21, 499 2 69 95 584;
22, 508 2 68 98 601;
23, 491 2 66 55 634;
24, 537 2 64 61 460;
25, 514 1 69 74 527;
26, 485 1 71 67 550;
27, 512 1 73 84 542;
28, 533 1 74 82 588;
29, 514 2 73 72 615;
30, 516 1 71 82 538;
31, 518 2 69 15 -999;
