1, 502 2 69 79 614;
2, 513 2 76 101 611;
3, 492 2 71 82 551;
4, 489 2 73 84 513;
5, 499 2 74 95 494;
6, 487 2 71 71 374;
7, 505 1 61 78 467;
8, 499 1 62 90 548;
9, 519 1 64 90 546;
10, 526 1 66 84 486;
11, 490 1 68 88 412;
12, 482 1 62 79 560;
13, 501 2 71 71 559;
14, 499 2 78 88 939;
15, 482 2 73 81 532;
16, 507 2 74 106 472;
17, 486 2 76 101 412;
18, 647 2 78 78 293;
19, 298 2 73 64 77;
20, 90 2 74 79 254;
21, 257 2 73 35 261;
22, 18 1 62 90 485;
23, 477 1 64 95 494;
24, 480 1 66 88 485;
25, 508 1 68 88 473;
26, 502 1 69 95 381;
27, 519 1 64 90 601;
28, 2103 1 74 86 -999;
29, 454 2 71 82 544;
30, 515 2 73 84 474;
31, 478 2 74 95 -999;
