1, 502 2 69 79 392;
2, 494 2 69 82 457;
3, 487 2 76 101 481;
4, 484 2 74 90 564;
5, 526 2 73 81 489;
6, 488 2 71 79 469;
7, 471 1 61 81 378;
8, 479 1 61 72 504;
9, 486 1 68 75 532;
10, 523 1 66 84 421;
11, 483 1 64 79 377;
12, 514 1 62 82 665;
13, 496 2 71 67 347;
14, 493 2 71 61 407;
15, 450 2 78 84 474;
16, 468 2 76 118 498;
17, 512 2 74 90 494;
18, 476 2 73 64 576;
19, 505 1 62 90 308;
20, 483 1 62 82 465;
21, 484 1 69 95 506;
22, 480 1 68 88 459;
23, 461 1 66 75 377;
24, 459 1 64 79 460;
25, 514 2 69 79 561;
26, 475 2 71 86 516;
27, 504 2 73 81 503;
28, 497 1 74 79 538;
29, 478 2 73 88 479;
30, 474 2 71 82 510;
31, 489 2 69 69 -999;
