1, 549 1 69 95 531;
2, 493 1 71 79 548;
3, 497 1 73 98 506;
4, 467 1 74 90 521;
5, 479 1 73 93 501;
6, 471 1 76 86 476;
7, 529 2 66 81 499;
8, 465 2 68 88 498;
9, 488 2 61 66 474;
10, 498 2 62 90 513;
11, 484 2 64 101 504;
12, 483 2 62 90 490;
13, 510 1 71 90 532;
14, 446 1 73 88 527;
15, 480 1 74 90 549;
16, 502 1 76 95 462;
17, 454 1 74 90 504;
18, 464 1 78 75 489;
19, 494 2 68 78 465;
20, 484 2 69 86 490;
21, 473 2 62 67 432;
22, 459 2 64 95 489;
23, 461 2 66 78 532;
24, 490 2 64 90 507;
25, 505 1 69 101 523;
26, 477 1 71 82 539;
27, 470 1 73 98 446;
28, 468 2 74 82 579;
29, 530 1 73 103 547;
30, 465 1 71 90 510;
31, 498 1 69 82 -999;
