1, 518 1 69 90 541;
2, 490 1 71 82 491;
3, 435 1 73 84 488;
4, 444 1 74 90 507;
5, 464 1 73 88 439;
6, 439 1 76 86 472;
7, 491 2 66 93 438;
8, 450 2 68 93 485;
9, 485 2 61 70 449;
10, 447 2 62 101 499;
11, 483 2 64 95 455;
12, 451 2 62 101 434;
13, 511 1 71 77 533;
14, 471 1 73 93 465;
15, 412 1 74 90 444;
16, 454 1 76 95 472;
17, 465 1 74 95 468;
18, 428 1 78 84 561;
19, 493 2 68 93 462;
20, 430 2 69 86 475;
21, 492 2 62 69 455;
22, 449 2 64 95 488;
23, 446 2 66 78 503;
24, 453 2 64 82 482;
25, 524 1 69 86 481;
26, 437 1 71 86 474;
27, 439 1 73 93 503;
28, 478 1 74 86 489;
29, 444 1 73 93 523;
30, 491 2 71 82 475;
31, 465 1 69 86 -999;
