1, 519 2 69 24 463;
2, 451 2 71 65 432;
3, 474 2 73 10 492;
4, 452 2 74 79 451;
5, 419 2 73 60 431;
6, 448 2 76 82 395;
7, 418 1 66 43 509;
8, 489 1 68 55 482;
9, 431 1 61 31 494;
10, 441 1 62 52 486;
11, 466 1 64 90 503;
12, 467 1 62 82 529;
13, 459 2 71 24 485;
14, 386 2 73 21 553;
15, 431 2 74 63 372;
16, 421 2 76 67 455;
17, 470 2 74 69 418;
18, 411 2 78 75 460;
19, 449 1 68 70 500;
20, 464 1 69 74 429;
21, 433 1 62 52 537;
22, 447 1 64 79 541;
23, 500 1 66 72 489;
24, 447 1 64 77 509;
25, 475 2 69 1 437;
26, 393 2 71 46 402;
27, 378 2 73 39 398;
28, 464 1 74 67 398;
29, 402 1 73 78 428;
30, 413 1 71 32 480;
31, 480 1 69 59 -999;
