1, 531 1 69 67 544;
2, 530 1 71 71 522;
3, 516 1 73 81 466;
4, 484 1 74 79 560;
5, 522 1 73 75 496;
6, 497 1 76 79 509;
7, 499 2 66 75 534;
8, 527 2 68 22 493;
9, 487 2 61 64 546;
10, 509 2 62 90 527;
11, 504 2 64 82 509;
12, 487 2 62 77 408;
13, 531 1 71 79 493;
14, 482 1 73 84 489;
15, 489 1 74 61 544;
16, 488 1 76 74 523;
17, 514 1 74 61 521;
18, 497 1 78 66 518;
19, 516 2 68 81 491;
20, 498 2 69 79 520;
21, 466 2 62 56 545;
22, 494 2 64 82 496;
23, 463 2 66 68 480;
24, 491 2 64 69 458;
25, 506 1 69 82 518;
26, 494 1 71 69 515;
27, 479 1 73 66 580;
28, 530 1 74 69 540;
29, 496 1 73 84 469;
30, 433 1 71 71 499;
31, 488 1 69 65 -999;
