TD_NG,trial-05_-2.coll.txt	Feb,17,2016,14:21:30
TD_NG,trial-01_02.coll.txt	Feb,17,2016,14:50:27
TD_NG,trial-01_-2.coll.txt	Feb,26,2016,14:48:17
TD_NG,trial-02_-2.coll.txt	Feb,26,2016,14:51:35
TD_NG,trial-06_-2.coll.txt	Feb,26,2016,15:44:55
TD_NG,trial-06_02.coll.txt	Feb,26,2016,15:49:37
TD_NG,trial-06_-1.coll.txt	Feb,26,2016,16:04:35
TD_NG,trial-06_01.coll.txt	Feb,26,2016,16:04:57
TD_NG,trial-06_03.coll.txt	Feb,26,2016,16:08:46
TD_NG,trial-06_05.coll.txt	Feb,26,2016,16:09:28
TD_NG,trial-06_04.coll.txt	Feb,26,2016,16:57:32
TD_NG,trial-06_06.coll.txt	Feb,26,2016,16:58:14
TD_NG,trial-06_07.coll.txt	Feb,26,2016,16:58:32
TD_NG,trial-06_08.coll.txt	Feb,26,2016,16:58:50
TD_NG,trial-06_09.coll.txt	Feb,26,2016,16:59:07
TD_NG,trial-06_10.coll.txt	Feb,26,2016,16:59:25
TD_NG,trial-06_11.coll.txt	Feb,26,2016,16:59:43
TD_NG,trial-01_-1.coll.txt	Feb,26,2016,17:07:05
TD_NG,trial-01_03.coll.txt	Feb,26,2016,17:08:07
TD_NG,trial-09_-2.coll.txt	Feb,26,2016,17:41:15
TD_NG,trial-09_-1.coll.txt	Feb,26,2016,17:42:04
TD_NG,trial-09_01.coll.txt	Feb,26,2016,17:42:23
TD_NG,trial-09_02.coll.txt	Feb,26,2016,17:42:41
TD_NG,trial-09_03.coll.txt	Feb,26,2016,17:50:16
TD_NG,trial-09_05.coll.txt	Feb,26,2016,18:08:26
TD_NG,trial-09_06.coll.txt	Feb,26,2016,18:08:44
TD_NG,trial-09_07.coll.txt	Feb,26,2016,18:09:03
TD_NG,trial-09_08.coll.txt	Feb,26,2016,18:09:22
TD_NG,trial-02_-1.coll.txt	Feb,28,2016,20:54:48
TD_NG,trial-02_01.coll.txt	Feb,28,2016,20:55:26
TD_NG,trial-01_01.coll.txt	Feb,28,2016,21:02:16
TD_NG,trial-01_04.coll.txt	Feb,28,2016,21:03:13
TD_NG,trial-01_05.coll.txt	Feb,28,2016,21:03:32
TD_NG,trial-01_06.coll.txt	Feb,28,2016,21:03:51
TD_NG,trial-01_08.coll.txt	Feb,28,2016,21:06:05
TD_NG,trial-01_09.coll.txt	Feb,28,2016,21:06:24
TD_NG,trial-01_10.coll.txt	Feb,28,2016,21:21:08
TD_NG,trial-01_07.coll.txt	Feb,29,2016,13:50:11
TD_NG,trial-01_11.coll.txt	Feb,29,2016,13:51:25
TD_NG,trial-01_12.coll.txt	Feb,29,2016,13:51:44
TD_NG,trial-01_13.coll.txt	Feb,29,2016,13:52:03
TD_NG,trial-01_14.coll.txt	Feb,29,2016,13:52:21
TD_NG,trial-01_15.coll.txt	Feb,29,2016,13:52:39
TD_NG,trial-01_16.coll.txt	Feb,29,2016,13:52:58
TD_NG,trial-01_17.coll.txt	Feb,29,2016,13:53:17
TD_NG,trial-01_18.coll.txt	Feb,29,2016,13:53:35
TD_NG,trial-01_19.coll.txt	Feb,29,2016,13:53:54
TD_NG,trial-01_20.coll.txt	Feb,29,2016,13:54:13
TD_NG,trial-01_21.coll.txt	Feb,29,2016,13:54:31
TD_NG,trial-01_22.coll.txt	Feb,29,2016,13:54:50
TD_NG,trial-01_23.coll.txt	Feb,29,2016,13:55:09
TD_NG,trial-01_24.coll.txt	Feb,29,2016,13:55:27
TD_NG,trial-01_25.coll.txt	Feb,29,2016,13:55:46
TD_NG,trial-01_26.coll.txt	Feb,29,2016,13:56:05
TD_NG,trial-01_27.coll.txt	Feb,29,2016,13:56:23
TD_NG,trial-01_28.coll.txt	Feb,29,2016,13:56:41
TD_NG,trial-01_29.coll.txt	Feb,29,2016,13:57:00
