1, 509 2 69 74 146;
2, 478 2 69 79 481;
3, 489 2 76 101 441;
4, 465 2 74 82 435;
5, 445 2 73 70 459;
6, 473 2 71 69 90;
7, 485 1 61 98 331;
8, 492 1 61 93 488;
9, 467 1 68 81 463;
10, 469 1 66 93 578;
11, 479 1 64 106 475;
12, 458 1 62 111 470;
13, 498 2 71 82 119;
14, 464 2 71 77 517;
15, 458 2 78 55 501;
16, 449 2 76 90 452;
17, 460 2 74 71 500;
18, 464 2 73 64 313;
19, 492 1 62 90 199;
20, 486 1 62 74 412;
21, 449 1 69 101 427;
22, 469 1 68 93 494;
23, 468 1 66 81 476;
24, 471 1 64 111 525;
25, 498 2 69 69 508;
26, 505 2 71 69 445;
27, 456 2 73 81 439;
28, 512 1 74 82 502;
29, 467 1 73 84 490;
30, 447 1 71 86 497;
31, 491 1 69 77 -999;
