1, 523 2 69 63 538;
2, 526 2 76 90 528;
3, 538 2 71 57 490;
4, 475 2 73 68 473;
5, 500 2 74 77 432;
6, 459 2 71 69 372;
7, 524 1 61 84 528;
8, 499 1 62 95 540;
9, 491 1 64 101 578;
10, 527 1 66 93 495;
11, 491 1 68 88 540;
12, 518 1 62 82 452;
13, 511 2 71 54 493;
14, 486 2 78 75 501;
15, 482 2 73 64 476;
16, 488 2 74 74 483;
17, 484 2 76 79 503;
18, 485 2 73 60 318;
19, 506 1 62 101 538;
20, 514 1 64 106 539;
21, 481 1 66 93 529;
22, 503 1 68 93 509;
23, 489 1 69 90 512;
24, 510 1 64 86 422;
25, 506 2 69 65 477;
26, 488 2 71 77 487;
27, 489 2 73 75 440;
28, 531 1 74 82 480;
29, 471 1 73 88 529;
30, 488 1 71 90 505;
31, 494 1 69 90 -999;
