1, 504 1 69 77 530;
2, 474 1 73 78 501;
3, 507 1 76 86 543;
4, 496 1 74 79 571;
5, 490 1 73 78 544;
6, 494 1 71 69 495;
7, 534 2 61 26 578;
8, 512 2 64 90 500;
9, 494 2 68 93 582;
10, 506 2 66 81 758;
11, 522 2 64 74 524;
12, 519 2 62 77 481;
13, 530 1 71 69 545;
14, 525 1 74 82 542;
15, 514 1 78 81 546;
16, 491 1 76 90 564;
17, 500 1 74 90 552;
18, 499 1 73 88 531;
19, 519 2 62 79 589;
20, 522 2 66 84 505;
21, 479 2 69 101 592;
22, 518 2 68 103 588;
23, 478 2 66 58 545;
24, 505 2 64 74 519;
25, 515 1 69 77 531;
26, 480 1 71 71 523;
27, 488 1 73 70 534;
28, 508 1 74 82 527;
29, 464 1 73 81 554;
30, 503 1 71 79 515;
31, 527 2 69 35 -999;
