1, 502 2 69 90 366;
2, 490 2 69 86 531;
3, 497 2 76 101 559;
4, 484 2 74 101 540;
5, 494 2 73 84 501;
6, 499 2 71 82 550;
7, 484 1 61 78 393;
8, 475 1 61 78 515;
9, 499 1 68 84 512;
10, 526 1 66 88 390;
11, 488 1 64 95 419;
12, 532 1 62 90 627;
13, 538 2 71 77 359;
14, 493 2 71 79 526;
15, 463 2 78 93 476;
16, 470 2 76 118 484;
17, 496 2 74 106 498;
18, 474 2 73 64 401;
19, 493 1 62 101 328;
20, 460 1 62 82 460;
21, 511 1 69 95 445;
22, 489 1 68 84 470;
23, 467 1 66 78 403;
24, 496 1 64 95 437;
25, 510 2 69 86 539;
26, 496 2 71 90 538;
27, 505 2 73 84 516;
28, 479 1 74 82 534;
29, 517 1 73 88 479;
30, 460 1 71 82 511;
31, 505 2 69 69 -999;
