1, 474 2 69 82 364;
2, 468 2 69 82 495;
3, 479 2 76 95 458;
4, 454 2 74 95 522;
5, 488 2 73 84 494;
6, 486 2 71 71 450;
7, 488 1 61 81 344;
8, 478 1 61 78 534;
9, 482 1 68 78 507;
10, 475 1 66 81 480;
11, 501 1 64 82 380;
12, 519 1 62 82 509;
13, 510 2 71 69 360;
14, 478 2 71 69 519;
15, 470 2 78 93 455;
16, 453 2 76 106 509;
17, 491 2 74 101 489;
18, 463 2 73 66 547;
19, 496 1 62 90 340;
20, 491 1 62 86 381;
21, 487 1 69 95 469;
22, 502 1 68 88 469;
23, 479 1 66 81 393;
24, 485 1 64 86 416;
25, 531 2 69 74 540;
26, 510 2 71 90 540;
27, 489 2 73 78 494;
28, 482 1 74 82 523;
29, 475 1 73 88 521;
30, 452 1 71 82 510;
31, 499 2 69 71 -999;
