1, 545 1 69 79 597;
2, 512 1 73 88 546;
3, 505 1 76 90 534;
4, 492 1 74 79 541;
5, 491 1 73 78 490;
6, 493 1 71 61 558;
7, 506 2 61 25 450;
8, 513 2 64 71 487;
9, 462 2 68 93 570;
10, 510 2 66 72 509;
11, 512 2 64 90 484;
12, 501 2 62 82 537;
13, 511 1 71 74 544;
14, 488 1 74 82 505;
15, 469 1 78 88 598;
16, 536 1 76 86 501;
17, 500 1 74 71 509;
18, 495 1 73 84 602;
19, 531 2 62 63 499;
20, 484 2 66 78 520;
21, 482 2 69 86 542;
22, 490 2 68 84 522;
23, 487 2 66 81 538;
24, 522 2 64 90 569;
25, 516 1 69 90 570;
26, 517 1 71 79 559;
27, 495 1 73 88 565;
28, 527 2 74 79 545;
29, 500 1 73 84 559;
30, 511 2 71 79 553;
31, 540 1 69 61 -999;
