1, 457 2 69 63 535;
2, 479 2 73 75 473;
3, 489 2 76 82 492;
4, 454 2 74 90 474;
5, 435 2 73 66 412;
6, 436 2 71 74 482;
7, 433 1 61 68 453;
8, 456 1 64 65 544;
9, 460 1 68 16 549;
10, 461 1 66 72 519;
11, 480 1 64 56 512;
12, 454 1 62 57 571;
13, 474 2 71 63 465;
14, 458 2 74 79 399;
15, 411 2 78 78 485;
16, 457 2 76 95 417;
17, 458 2 74 57 415;
18, 426 2 73 60 642;
19, 459 1 62 86 467;
20, 445 1 66 81 430;
21, 433 1 69 79 463;
22, 417 1 68 78 499;
23, 459 1 66 66 435;
24, 427 1 64 37 575;
25, 471 2 69 67 454;
26, 435 2 71 74 436;
27, 424 2 73 70 454;
28, 456 1 74 63 484;
29, 464 1 73 72 505;
30, 469 1 71 46 405;
31, 482 1 69 57 290;
