1, 502 2 69 65 483;
2, 469 2 71 79 518;
3, 477 2 73 81 500;
4, 473 2 74 101 522;
5, 489 2 73 81 488;
6, 479 2 76 106 542;
7, 493 1 66 81 468;
8, 472 1 68 98 465;
9, 437 1 61 60 493;
10, 454 1 62 90 448;
11, 472 1 64 86 425;
12, 457 1 62 95 471;
13, 450 2 71 69 525;
14, 481 2 73 66 571;
15, 513 2 74 101 424;
16, 464 2 76 106 473;
17, 478 2 74 106 486;
18, 452 2 78 98 544;
19, 466 1 68 88 487;
20, 446 1 69 95 460;
21, 455 1 62 86 511;
22, 455 1 64 95 481;
23, 440 1 66 88 454;
24, 454 1 64 95 523;
25, 499 2 69 41 447;
26, 450 2 71 71 479;
27, 454 2 73 75 466;
28, 495 2 74 82 490;
29, 437 2 73 78 545;
30, 491 2 71 74 475;
31, 459 2 69 67 -999;
