1, 472 1 69 57 477;
2, 447 1 73 81 634;
3, 577 1 76 54 408;
4, 369 1 74 67 532;
5, 473 1 73 72 416;
6, 414 1 71 54 508;
7, 393 2 61 64 462;
8, 442 2 64 77 404;
9, 405 2 68 49 546;
10, 404 2 66 81 406;
11, 439 2 64 77 407;
12, 420 2 62 67 371;
13, 438 1 71 54 515;
14, 480 1 74 77 509;
15, 423 1 78 72 466;
16, 424 1 76 86 431;
17, 424 1 74 69 480;
18, 438 1 73 84 457;
19, 445 2 62 63 501;
20, 404 2 66 66 408;
21, 413 2 69 74 489;
22, 428 2 68 26 488;
23, 402 2 66 66 405;
24, 417 2 64 71 431;
25, 424 1 69 77 442;
26, 464 1 71 79 433;
27, 433 1 73 58 449;
28, 451 1 74 67 475;
29, 440 1 73 78 809;
30, 398 1 71 69 428;
31, 411 1 69 82 -999;
