1, 603 2 69 74 587;
2, 561 2 76 106 483;
3, 475 2 71 74 472;
4, 443 2 73 60 442;
5, 463 2 74 77 448;
6, 486 2 71 69 362;
7, 495 1 61 81 512;
8, 483 1 62 101 683;
9, 481 1 64 95 500;
10, 476 1 66 98 473;
11, 473 1 68 103 516;
12, 514 1 62 95 437;
13, 497 2 71 69 524;
14, 510 2 78 66 1070;
15, 1115 2 73 1 471;
16, 478 2 74 63 466;
17, 460 2 76 82 492;
18, 481 2 73 64 298;
19, 489 1 62 74 514;
20, 482 1 64 95 476;
21, 459 1 66 88 484;
22, 479 1 68 84 487;
23, 477 1 69 101 478;
24, 483 1 64 86 480;
25, 487 2 69 65 519;
26, 513 2 71 74 513;
27, 468 2 73 78 474;
28, 488 1 74 79 534;
29, 496 2 73 81 495;
30, 471 2 71 69 553;
31, 546 1 69 86 -999;
