1, 532 1 69 71 542;
2, 491 1 71 67 520;
3, 478 1 73 78 549;
4, 512 1 74 79 542;
5, 497 1 73 88 502;
6, 499 1 76 74 422;
7, 554 2 66 70 551;
8, 513 2 68 75 531;
9, 505 2 61 40 690;
10, 530 2 62 77 519;
11, 554 2 64 74 498;
12, 518 2 62 74 615;
13, 512 1 71 65 527;
14, 484 1 73 70 547;
15, 510 1 74 67 521;
16, 490 1 76 77 536;
17, 501 1 74 71 507;
18, 489 1 78 72 431;
19, 508 2 68 81 543;
20, 488 2 69 77 507;
21, 516 2 62 63 626;
22, 515 2 64 86 567;
23, 481 2 66 66 622;
24, 536 2 64 67 586;
25, 504 1 69 69 508;
26, 499 1 71 42 545;
27, 524 1 73 72 502;
28, 524 2 74 95 540;
29, 476 2 73 70 611;
30, 517 1 71 71 638;
31, 516 1 69 67 -999;
