1, 523 2 69 65 575;
2, 511 2 73 88 500;
3, 492 2 76 111 561;
4, 515 2 74 101 540;
5, 473 2 73 53 527;
6, 503 2 71 57 471;
7, 509 1 61 66 582;
8, 496 1 64 82 466;
9, 477 1 68 72 555;
10, 452 1 66 78 546;
11, 492 1 64 79 500;
12, 504 1 62 77 533;
13, 498 2 71 69 576;
14, 505 2 74 111 461;
15, 441 2 78 98 544;
16, 512 2 76 118 517;
17, 494 2 74 101 519;
18, 485 2 73 88 580;
19, 538 1 62 65 551;
20, 487 1 66 78 545;
21, 497 1 69 90 537;
22, 473 1 68 68 543;
23, 457 1 66 70 580;
24, 505 1 64 74 491;
25, 536 2 69 54 574;
26, 487 2 71 79 511;
27, 486 2 73 93 500;
28, 520 1 74 61 536;
29, 494 2 73 75 557;
30, 490 1 71 61 507;
31, 522 2 69 43 -999;
