1, 529 1 69 79 307;
2, 503 1 69 86 368;
3, 484 1 76 86 423;
4, 513 1 74 86 420;
5, 470 1 73 88 312;
6, 507 1 71 79 296;
7, 499 2 61 81 369;
8, 499 2 61 81 522;
9, 483 2 68 98 532;
10, 484 2 66 88 507;
11, 498 2 64 106 525;
12, 513 2 62 95 434;
13, 507 1 71 82 295;
14, 519 1 71 82 405;
15, 490 1 78 84 408;
16, 466 1 76 82 458;
17, 528 1 74 79 368;
18, 488 1 73 81 463;
19, 540 2 62 90 354;
20, 498 2 62 86 466;
21, 497 2 69 95 541;
22, 490 2 68 103 509;
23, 487 2 66 88 486;
24, 503 2 64 69 352;
25, 509 1 69 95 451;
26, 501 1 71 77 437;
27, 512 1 73 84 473;
28, 525 1 74 79 646;
29, 503 1 73 88 604;
30, 472 1 71 79 532;
31, 533 2 69 71 -999;
