1, 531 1 69 90 347;
2, 524 1 69 82 359;
3, 492 1 76 79 359;
4, 505 1 74 71 465;
5, 518 1 73 81 397;
6, 502 1 71 77 369;
7, 517 2 61 93 380;
8, 488 2 61 75 494;
9, 481 2 68 98 574;
10, 497 2 66 84 508;
11, 514 2 64 86 440;
12, 497 2 62 82 511;
13, 518 1 71 86 315;
14, 515 1 71 77 513;
15, 501 1 78 84 406;
16, 488 1 76 86 394;
17, 494 1 74 77 361;
18, 499 1 73 78 453;
19, 500 2 62 77 391;
20, 501 2 62 86 559;
21, 501 2 69 95 549;
22, 460 2 68 98 510;
23, 506 2 66 88 485;
24, 496 2 64 90 336;
25, 501 1 69 90 452;
26, 506 1 71 79 489;
27, 514 1 73 84 367;
28, 497 1 74 74 523;
29, 502 1 73 81 554;
30, 476 1 71 74 498;
31, 503 1 69 90 -999;
