1, 517 2 69 57 504;
2, 474 2 73 72 495;
3, 495 2 76 95 511;
4, 482 2 74 90 517;
5, 485 2 73 75 521;
6, 482 2 71 79 559;
7, 483 1 61 81 518;
8, 510 1 64 86 456;
9, 475 1 68 93 471;
10, 451 1 66 84 511;
11, 479 1 64 95 517;
12, 499 1 62 95 475;
13, 491 2 71 59 524;
14, 489 2 74 101 517;
15, 469 2 78 93 530;
16, 494 2 76 106 515;
17, 475 2 74 95 500;
18, 489 2 73 64 544;
19, 469 1 62 86 548;
20, 485 1 66 98 536;
21, 493 1 69 101 504;
22, 457 1 68 88 486;
23, 467 1 66 78 470;
24, 492 1 64 101 565;
25, 488 2 69 59 519;
26, 506 2 71 82 474;
27, 432 2 73 84 491;
28, 512 2 74 106 502;
29, 464 2 73 81 495;
30, 516 2 71 79 512;
31, 524 1 69 71 -999;
