1, 531 1 69 61 594;
2, 547 1 71 71 553;
3, 531 1 73 75 543;
4, 503 1 74 74 508;
5, 497 1 73 78 540;
6, 497 1 76 74 570;
7, 464 2 66 72 462;
8, 460 2 68 12 477;
9, 476 2 61 57 530;
10, 495 2 62 90 459;
11, 498 2 64 71 473;
12, 496 2 62 86 623;
13, 509 1 71 61 514;
14, 504 1 73 84 467;
15, 472 1 74 65 500;
16, 518 1 76 74 487;
17, 510 1 74 32 546;
18, 507 1 78 51 568;
19, 500 2 68 70 451;
20, 512 2 69 56 500;
21, 483 2 62 59 455;
22, 463 2 64 67 491;
23, 464 2 66 68 474;
24, 503 2 64 63 448;
25, 511 1 69 65 473;
26, 477 1 71 63 461;
27, 450 1 73 57 461;
28, 508 1 74 48 499;
29, 445 1 73 75 497;
30, 527 2 71 65 492;
31, 526 2 69 69 -999;
