1, 542 2 69 74 536;
2, 513 2 76 90 490;
3, 506 2 71 67 463;
4, 448 2 73 68 475;
5, 474 2 74 86 486;
6, 487 2 71 82 114;
7, 505 1 61 84 506;
8, 486 1 62 106 493;
9, 459 1 64 101 533;
10, 498 1 66 98 459;
11, 469 1 68 93 521;
12, 492 1 62 90 465;
13, 483 2 71 71 500;
14, 489 2 78 98 495;
15, 481 2 73 70 472;
16, 484 2 74 82 469;
17, 465 2 76 90 474;
18, 475 2 73 68 441;
19, 490 1 62 95 498;
20, 475 1 64 106 528;
21, 479 1 66 84 481;
22, 487 1 68 93 470;
23, 469 1 69 95 455;
24, 467 1 64 90 483;
25, 486 2 69 74 450;
26, 479 2 71 69 470;
27, 466 2 73 78 458;
28, 489 1 74 90 537;
29, 499 1 73 81 533;
30, 519 2 71 77 486;
31, 487 2 69 82 -999;
