1, 538 2 69 54 584;
2, 505 2 71 90 541;
3, 478 2 73 88 534;
4, 495 2 74 106 551;
5, 505 2 73 81 545;
6, 518 2 76 111 488;
7, 531 1 66 55 528;
8, 495 1 68 58 574;
9, 454 1 61 23 574;
10, 501 1 62 79 538;
11, 532 1 64 74 467;
12, 443 1 62 52 474;
13, 547 2 71 71 566;
14, 477 2 73 81 529;
15, 484 2 74 111 512;
16, 503 2 76 118 536;
17, 517 2 74 106 520;
18, 480 2 78 93 439;
19, 484 1 68 70 585;
20, 515 1 69 86 493;
21, 485 1 62 71 559;
22, 495 1 64 82 528;
23, 479 1 66 78 549;
24, 482 1 64 77 509;
25, 514 2 69 34 565;
26, 497 2 71 65 507;
27, 472 2 73 60 537;
28, 519 2 74 95 550;
29, 491 2 73 72 581;
30, 522 1 71 67 540;
31, 539 2 69 63 -999;
