1, 486 2 69 59 543;
2, 475 2 73 75 504;
3, 501 2 76 118 552;
4, 518 2 74 106 524;
5, 475 2 73 72 525;
6, 490 2 71 71 473;
7, 473 1 61 68 575;
8, 496 1 64 82 477;
9, 473 1 68 84 562;
10, 484 1 66 84 538;
11, 493 1 64 90 498;
12, 483 1 62 86 456;
13, 470 2 71 74 502;
14, 463 2 74 106 487;
15, 484 2 78 103 498;
16, 474 2 76 111 523;
17, 478 2 74 90 507;
18, 481 2 73 72 509;
19, 487 1 62 77 548;
20, 464 1 66 78 494;
21, 491 1 69 95 516;
22, 460 1 68 88 563;
23, 475 1 66 81 523;
24, 473 1 64 82 474;
25, 498 2 69 52 523;
26, 473 2 71 71 501;
27, 467 2 73 88 510;
28, 479 1 74 77 525;
29, 477 2 73 81 517;
30, 444 2 71 67 518;
31, 493 2 69 42 -999;
