1, 532 1 69 90 280;
2, 488 1 69 86 279;
3, 511 1 76 82 315;
4, 509 1 74 77 320;
5, 504 1 73 88 227;
6, 503 1 71 69 312;
7, 521 2 61 84 388;
8, 467 2 61 78 425;
9, 489 2 68 98 574;
10, 499 2 66 88 522;
11, 489 2 64 106 478;
12, 476 2 62 86 351;
13, 509 1 71 79 269;
14, 527 1 71 77 328;
15, 477 1 78 75 438;
16, 505 1 76 86 339;
17, 510 1 74 77 177;
18, 514 1 73 81 330;
19, 494 2 62 95 342;
20, 477 2 62 90 454;
21, 485 2 69 101 504;
22, 464 2 68 103 508;
23, 477 2 66 88 448;
24, 453 2 64 82 380;
25, 522 1 69 95 326;
26, 472 1 71 77 368;
27, 484 1 73 88 294;
28, 530 1 74 82 573;
29, 484 1 73 75 528;
30, 465 1 71 71 508;
31, 505 1 69 79 -999;
