1, 526 1 69 86 541;
2, 466 1 73 98 531;
3, 479 1 76 82 521;
4, 475 1 74 82 549;
5, 495 1 73 81 500;
6, 471 1 71 79 454;
7, 506 2 61 72 482;
8, 476 2 64 90 504;
9, 481 2 68 81 542;
10, 494 2 66 88 496;
11, 466 2 64 90 502;
12, 482 2 62 101 590;
13, 497 1 71 79 532;
14, 484 1 74 86 533;
15, 494 1 78 84 524;
16, 496 1 76 86 463;
17, 471 1 74 77 509;
18, 491 1 73 88 489;
19, 521 2 62 82 498;
20, 469 2 66 88 523;
21, 482 2 69 95 547;
22, 475 2 68 93 580;
23, 511 2 66 84 529;
24, 476 2 64 82 543;
25, 498 1 69 82 529;
26, 491 1 71 86 522;
27, 460 1 73 84 553;
28, 524 2 74 86 543;
29, 479 1 73 84 545;
30, 504 2 71 82 492;
31, 502 1 69 82 -999;
