1, 516 2 69 59 510;
2, 471 2 73 75 484;
3, 505 2 76 90 522;
4, 507 2 74 77 486;
5, 502 2 73 72 471;
6, 504 2 71 65 497;
7, 512 1 61 70 519;
8, 523 1 64 86 460;
9, 480 1 68 88 524;
10, 481 1 66 84 542;
11, 517 1 64 86 500;
12, 484 1 62 86 422;
13, 496 2 71 40 472;
14, 492 2 74 79 482;
15, 472 2 78 93 525;
16, 497 2 76 95 453;
17, 477 2 74 82 471;
18, 477 2 73 45 523;
19, 507 1 62 79 583;
20, 498 1 66 88 500;
21, 492 1 69 95 512;
22, 482 1 68 81 526;
23, 497 1 66 78 516;
24, 510 1 64 79 557;
25, 526 2 69 43 463;
26, 495 2 71 61 505;
27, 463 2 73 66 469;
28, 507 1 74 79 536;
29, 491 1 73 88 499;
30, 472 1 71 71 522;
31, 527 2 69 52 -999;
