1, 503 2 69 63 525;
2, 451 2 73 68 589;
3, 497 2 76 82 519;
4, 475 2 74 86 525;
5, 453 2 73 72 504;
6, 469 2 71 77 519;
7, 462 1 61 78 496;
8, 475 1 64 86 411;
9, 430 1 68 98 476;
10, 452 1 66 88 466;
11, 464 1 64 86 445;
12, 447 1 62 95 478;
13, 462 2 71 56 437;
14, 460 2 74 86 445;
15, 475 2 78 78 504;
16, 467 2 76 90 494;
17, 466 2 74 95 483;
18, 466 2 73 53 563;
19, 458 1 62 82 495;
20, 458 1 66 98 449;
21, 444 1 69 101 479;
22, 449 1 68 93 457;
23, 437 1 66 81 422;
24, 426 1 64 82 529;
25, 503 2 69 67 414;
26, 413 2 71 77 480;
27, 461 2 73 75 454;
28, 477 2 74 95 471;
29, 425 2 73 78 525;
30, 497 2 71 77 465;
31, 429 2 69 86 -999;
