1, 510 1 69 90 356;
2, 492 1 69 86 358;
3, 457 1 76 90 421;
4, 472 1 74 86 512;
5, 486 1 73 81 480;
6, 470 1 71 86 438;
7, 510 2 61 64 205;
8, 476 2 61 70 476;
9, 461 2 68 88 497;
10, 444 2 66 68 517;
11, 494 2 64 82 498;
12, 497 2 62 82 347;
13, 473 1 71 77 317;
14, 504 1 71 77 396;
15, 466 1 78 88 446;
16, 462 1 76 95 496;
17, 484 1 74 86 497;
18, 457 1 73 103 490;
19, 493 2 62 74 161;
20, 486 2 62 74 499;
21, 481 2 69 82 509;
22, 467 2 68 81 462;
23, 447 2 66 78 455;
24, 482 2 64 69 363;
25, 492 1 69 95 527;
26, 501 1 71 86 560;
27, 513 1 73 98 466;
28, 472 2 74 90 517;
29, 469 1 73 81 519;
30, 480 1 71 82 482;
31, 474 1 69 86 -999;
