1, 483 2 69 63 522;
2, 446 2 73 81 479;
3, 471 2 76 106 509;
4, 474 2 74 106 505;
5, 434 2 73 58 460;
6, 467 2 71 63 398;
7, 492 1 61 66 554;
8, 478 1 64 82 472;
9, 479 1 68 84 512;
10, 459 1 66 84 502;
11, 461 1 64 82 500;
12, 469 1 62 82 473;
13, 475 2 71 57 503;
14, 467 2 74 106 465;
15, 455 2 78 103 487;
16, 460 2 76 118 490;
17, 426 2 74 90 489;
18, 447 2 73 62 474;
19, 494 1 62 74 492;
20, 425 1 66 78 509;
21, 483 1 69 95 455;
22, 399 1 68 81 555;
23, 468 1 66 75 519;
24, 458 1 64 74 413;
25, 470 2 69 43 532;
26, 452 2 71 82 460;
27, 440 2 73 84 496;
28, 464 1 74 79 509;
29, 417 1 73 75 571;
30, 485 1 71 74 459;
31, 437 1 69 77 -999;
