1, 472 1 69 95 467;
2, 462 1 76 82 447;
3, 441 1 71 71 463;
4, 445 1 73 93 447;
5, 430 1 74 79 431;
6, 458 1 71 69 538;
7, 441 2 61 84 505;
8, 455 2 62 101 471;
9, 461 2 64 101 470;
10, 433 2 66 88 455;
11, 421 2 68 93 432;
12, 440 2 62 67 438;
13, 437 1 71 77 511;
14, 456 1 78 75 457;
15, 418 1 73 81 495;
16, 474 1 74 82 390;
17, 436 1 76 59 437;
18, 448 1 73 68 439;
19, 458 2 62 79 533;
20, 462 2 64 101 493;
21, 437 2 66 93 519;
22, 430 2 68 98 514;
23, 456 2 69 95 484;
24, 446 2 64 79 420;
25, 499 1 69 95 439;
26, 438 1 71 65 411;
27, 436 1 73 72 235;
28, 435 2 74 86 873;
29, 462 2 73 88 552;
30, 429 2 71 86 492;
31, 484 1 69 79 -999;
