1, 516 2 69 61 519;
2, 478 2 73 70 586;
3, 527 2 76 95 496;
4, 468 2 74 86 502;
5, 446 2 73 72 508;
6, 474 2 71 74 533;
7, 479 1 61 88 497;
8, 472 1 64 90 475;
9, 471 1 68 93 474;
10, 455 1 66 88 473;
11, 482 1 64 86 442;
12, 447 1 62 90 472;
13, 498 2 71 74 482;
14, 452 2 74 95 491;
15, 489 2 78 88 425;
16, 429 2 76 90 472;
17, 463 2 74 82 463;
18, 467 2 73 38 637;
19, 478 1 62 82 524;
20, 470 1 66 98 492;
21, 468 1 69 111 468;
22, 439 1 68 88 468;
23, 459 1 66 81 449;
24, 457 1 64 90 546;
25, 531 2 69 77 451;
26, 453 2 71 79 478;
27, 453 2 73 72 486;
28, 496 2 74 95 476;
29, 435 2 73 75 513;
30, 489 2 71 74 478;
31, 486 1 69 61 -999;
