1, 553 1 69 90 551;
2, 478 1 73 103 529;
3, 512 1 76 95 547;
4, 507 1 74 90 540;
5, 493 1 73 84 541;
6, 497 1 71 74 519;
7, 483 2 61 66 474;
8, 518 2 64 79 508;
9, 500 2 68 98 525;
10, 504 2 66 81 475;
11, 510 2 64 79 463;
12, 487 2 62 74 540;
13, 514 1 71 79 539;
14, 495 1 74 90 537;
15, 489 1 78 88 550;
16, 517 1 76 90 504;
17, 492 1 74 74 505;
18, 493 1 73 88 481;
19, 526 2 62 67 494;
20, 431 2 66 75 498;
21, 488 2 69 82 501;
22, 465 2 68 72 510;
23, 460 2 66 78 500;
24, 505 2 64 74 530;
25, 494 1 69 86 540;
26, 486 1 71 79 544;
27, 497 1 73 88 534;
28, 529 2 74 79 600;
29, 546 1 73 88 565;
30, 538 2 71 79 527;
31, 521 1 69 86 -999;
