1, 560 2 69 79 149;
2, 463 2 69 79 512;
3, 516 2 76 106 471;
4, 465 2 74 86 436;
5, 454 2 73 47 433;
6, 456 2 71 77 151;
7, 489 1 61 93 262;
8, 474 1 61 84 445;
9, 466 1 68 84 425;
10, 442 1 66 84 511;
11, 473 1 64 106 435;
12, 453 1 62 111 449;
13, 485 2 71 71 122;
14, 472 2 71 69 562;
15, 512 2 78 78 486;
16, 447 2 76 95 192;
17, 444 2 74 82 105;
18, 440 2 73 70 371;
19, 513 1 62 86 284;
20, 471 1 62 86 364;
21, 449 1 69 86 377;
22, 448 1 68 81 494;
23, 458 1 66 78 470;
24, 479 1 64 95 437;
25, 498 2 69 71 141;
26, 438 2 71 61 439;
27, 437 2 73 64 238;
28, 517 1 74 82 459;
29, 443 1 73 93 472;
30, 475 1 71 86 480;
31, 524 2 69 79 -999;
