1, 522 2 69 86 114;
2, 456 2 69 90 498;
3, 494 2 76 111 454;
4, 446 2 74 95 494;
5, 459 2 73 98 448;
6, 456 2 71 90 142;
7, 470 1 61 103 376;
8, 493 1 61 93 427;
9, 441 1 68 93 481;
10, 452 1 66 103 581;
11, 477 1 64 101 521;
12, 488 1 62 111 495;
13, 457 2 71 79 153;
14, 453 2 71 79 502;
15, 453 2 78 88 498;
16, 440 2 76 95 457;
17, 458 2 74 90 480;
18, 444 2 73 81 244;
19, 475 1 62 74 377;
20, 488 1 62 95 433;
21, 433 1 69 90 524;
22, 460 1 68 88 498;
23, 451 1 66 70 480;
24, 460 1 64 95 476;
25, 514 2 69 90 440;
26, 444 2 71 69 457;
27, 441 2 73 62 434;
28, 512 1 74 82 506;
29, 456 1 73 81 472;
30, 406 1 71 82 478;
31, 508 2 69 86 -999;
