1, 474 1 69 95 445;
2, 436 1 76 82 436;
3, 427 1 71 82 451;
4, 418 1 73 93 395;
5, 401 1 74 82 420;
6, 443 1 71 79 445;
7, 407 2 61 75 429;
8, 429 2 62 101 437;
9, 419 2 64 106 436;
10, 400 2 66 88 406;
11, 430 2 68 103 381;
12, 401 2 62 86 298;
13, 411 1 71 82 430;
14, 403 1 78 81 483;
15, 404 1 73 78 392;
16, 417 1 74 90 358;
17, 400 1 76 79 421;
18, 426 1 73 84 474;
19, 447 2 62 79 437;
20, 407 2 64 95 464;
21, 418 2 66 88 463;
22, 434 2 68 103 434;
23, 397 2 69 95 412;
24, 407 2 64 90 331;
25, 432 1 69 90 438;
26, 406 1 71 79 442;
27, 397 1 73 84 411;
28, 411 2 74 79 508;
29, 429 2 73 84 405;
30, 394 2 71 95 415;
31, 429 1 69 79 -999;
