1, 561 1 69 90 527;
2, 471 1 73 93 514;
3, 514 1 76 101 581;
4, 534 1 74 90 585;
5, 522 1 73 78 548;
6, 503 1 71 86 533;
7, 539 2 61 66 498;
8, 497 2 64 95 518;
9, 492 2 68 103 559;
10, 502 2 66 93 529;
11, 484 2 64 90 526;
12, 498 2 62 90 535;
13, 508 1 71 77 538;
14, 513 1 74 90 539;
15, 501 1 78 88 535;
16, 510 1 76 90 505;
17, 496 1 74 86 517;
18, 493 1 73 93 555;
19, 528 2 62 77 495;
20, 450 2 66 78 543;
21, 531 2 69 90 566;
22, 498 2 68 98 549;
23, 504 2 66 84 552;
24, 507 2 64 90 534;
25, 500 1 69 86 554;
26, 502 1 71 86 565;
27, 505 1 73 93 534;
28, 517 1 74 90 563;
29, 515 1 73 93 569;
30, 500 1 71 90 522;
31, 520 1 69 86 -999;
