1, 508 1 69 86 532;
2, 480 1 73 98 472;
3, 472 1 76 82 514;
4, 493 1 74 82 512;
5, 466 1 73 75 488;
6, 498 1 71 79 428;
7, 549 2 61 64 492;
8, 479 2 64 90 492;
9, 485 2 68 98 515;
10, 486 2 66 88 527;
11, 493 2 64 82 473;
12, 460 2 62 90 531;
13, 492 1 71 79 530;
14, 491 1 74 82 476;
15, 453 1 78 84 529;
16, 486 1 76 86 500;
17, 480 1 74 82 493;
18, 478 1 73 88 517;
19, 516 2 62 74 472;
20, 441 2 66 78 540;
21, 516 2 69 86 523;
22, 475 2 68 93 523;
23, 492 2 66 81 504;
24, 472 2 64 79 502;
25, 486 1 69 86 477;
26, 474 1 71 77 520;
27, 484 1 73 93 490;
28, 489 1 74 82 517;
29, 470 1 73 84 533;
30, 462 1 71 82 508;
31, 502 1 69 79 -999;
