1, 574 1 69 48 540;
2, 533 1 71 65 549;
3, 507 1 73 75 524;
4, 493 1 74 77 526;
5, 504 1 73 75 557;
6, 513 1 76 90 419;
7, 517 2 66 72 458;
8, 507 2 68 19 530;
9, 464 2 61 44 532;
10, 503 2 62 74 518;
11, 495 2 64 74 521;
12, 496 2 62 74 449;
13, 513 1 71 65 542;
14, 506 1 73 88 531;
15, 526 1 74 59 571;
16, 532 1 76 82 523;
17, 491 1 74 34 591;
18, 538 1 78 75 457;
19, 512 2 68 70 502;
20, 515 2 69 71 444;
21, 451 2 62 67 559;
22, 519 2 64 77 512;
23, 476 2 66 66 493;
24, 502 2 64 67 447;
25, 543 1 69 71 536;
26, 526 1 71 39 571;
27, 519 1 73 78 549;
28, 517 1 74 71 601;
29, 538 1 73 68 495;
30, 472 1 71 56 562;
31, 595 1 69 40 -999;
