1, 499 1 69 67 485;
2, 489 1 71 74 486;
3, 487 1 73 66 550;
4, 540 1 74 71 475;
5, 474 1 73 70 516;
6, 478 1 76 79 458;
7, 472 2 66 53 466;
8, 480 2 68 30 444;
9, 451 2 61 34 538;
10, 514 2 62 56 432;
11, 450 2 64 71 462;
12, 484 2 62 52 373;
13, 520 1 71 67 489;
14, 481 1 73 75 599;
15, 459 1 74 52 451;
16, 458 1 76 71 498;
17, 477 1 74 56 542;
18, 507 1 78 32 479;
19, 486 2 68 64 479;
20, 496 2 69 54 457;
21, 460 2 62 26 504;
22, 492 2 64 59 485;
23, 457 2 66 55 470;
24, 468 2 64 61 439;
25, 527 1 69 59 496;
26, 486 1 71 35 450;
27, 443 1 73 62 519;
28, 482 1 74 67 488;
29, 462 1 73 70 592;
30, 513 2 71 69 489;
31, 497 2 69 77 -999;
