1, 513 1 69 74 558;
2, 499 1 71 71 603;
3, 510 1 73 84 615;
4, 522 1 74 79 561;
5, 478 1 73 84 526;
6, 482 1 76 86 604;
7, 542 2 66 75 531;
8, 513 2 68 84 546;
9, 485 2 61 72 608;
10, 540 2 62 90 533;
11, 541 2 64 86 500;
12, 509 2 62 77 410;
13, 525 1 71 67 566;
14, 475 1 73 70 613;
15, 516 1 74 74 559;
16, 503 1 76 90 554;
17, 514 1 74 79 513;
18, 469 1 78 78 590;
19, 496 2 68 72 592;
20, 537 2 69 82 520;
21, 500 2 62 71 614;
22, 520 2 64 90 547;
23, 495 2 66 78 558;
24, 519 2 64 77 451;
25, 523 1 69 79 565;
26, 511 1 71 65 590;
27, 540 1 73 78 532;
28, 563 2 74 101 657;
29, 574 1 73 81 533;
30, 462 1 71 65 521;
31, 536 2 69 31 -999;
