1, 512 1 69 59 527;
2, 482 1 71 56 538;
3, 497 1 73 84 529;
4, 495 1 74 77 502;
5, 463 1 73 81 504;
6, 509 1 76 79 495;
7, 541 2 66 78 551;
8, 501 2 68 81 503;
9, 482 2 61 34 615;
10, 495 2 62 82 504;
11, 536 2 64 63 447;
12, 491 2 62 57 508;
13, 498 1 71 61 544;
14, 478 1 73 78 536;
15, 493 1 74 67 522;
16, 486 1 76 77 541;
17, 506 1 74 77 507;
18, 493 1 78 84 504;
19, 533 2 68 88 538;
20, 489 2 69 79 505;
21, 524 2 62 61 591;
22, 517 2 64 82 531;
23, 483 2 66 78 534;
24, 503 2 64 65 505;
25, 529 1 69 79 490;
26, 523 1 71 57 552;
27, 527 1 73 72 558;
28, 564 2 74 74 580;
29, 525 1 73 84 530;
30, 480 1 71 67 580;
31, 553 2 69 34 -999;
