1, 534 1 69 111 537;
2, 503 1 76 95 535;
3, 498 1 71 82 494;
4, 469 1 73 98 479;
5, 474 1 74 86 547;
6, 548 1 71 86 565;
7, 461 2 61 88 485;
8, 488 2 62 106 418;
9, 456 2 64 95 483;
10, 450 2 66 93 507;
11, 492 2 68 81 522;
12, 488 2 62 79 435;
13, 520 1 71 95 547;
14, 498 1 78 93 516;
15, 469 1 73 93 552;
16, 506 1 74 101 537;
17, 534 1 76 82 376;
18, 416 1 73 72 713;
19, 476 2 62 86 449;
20, 484 2 64 101 504;
21, 458 2 66 88 468;
22, 459 2 68 88 483;
23, 465 2 69 90 505;
24, 485 2 64 71 404;
25, 481 1 69 106 527;
26, 480 1 71 82 518;
27, 499 1 73 93 490;
28, 497 1 74 90 538;
29, 503 1 73 88 491;
30, 482 1 71 67 465;
31, 493 1 69 101 -999;
