1, 489 1 69 95 513;
2, 505 1 76 90 468;
3, 463 1 71 82 486;
4, 472 1 73 88 486;
5, 490 1 74 82 465;
6, 495 1 71 63 461;
7, 496 2 61 84 510;
8, 501 2 62 101 477;
9, 498 2 64 90 500;
10, 446 2 66 88 492;
11, 467 2 68 93 477;
12, 482 2 62 82 442;
13, 508 1 71 82 517;
14, 484 1 78 84 465;
15, 413 1 73 84 516;
16, 488 1 74 90 474;
17, 492 1 76 90 502;
18, 489 1 73 78 573;
19, 503 2 62 79 511;
20, 484 2 64 95 508;
21, 461 2 66 88 491;
22, 455 2 68 98 510;
23, 481 2 69 95 432;
24, 463 2 64 63 516;
25, 475 1 69 86 507;
26, 461 1 71 79 512;
27, 481 1 73 88 502;
28, 497 1 74 86 522;
29, 470 1 73 88 553;
30, 486 2 71 101 491;
31, 508 1 69 95 -999;
