1, 509 2 69 65 516;
2, 505 2 71 77 470;
3, 440 2 73 81 509;
4, 506 2 74 95 498;
5, 459 2 73 72 513;
6, 514 2 76 101 538;
7, 502 1 66 75 453;
8, 450 1 68 88 464;
9, 448 1 61 66 504;
10, 452 1 62 90 461;
11, 455 1 64 90 472;
12, 448 1 62 95 512;
13, 483 2 71 50 544;
14, 480 2 73 75 437;
15, 485 2 74 82 451;
16, 477 2 76 106 463;
17, 469 2 74 86 446;
18, 429 2 78 88 520;
19, 559 1 68 81 441;
20, 447 1 69 90 435;
21, 446 1 62 82 491;
22, 452 1 64 95 506;
23, 475 1 66 84 473;
24, 445 1 64 95 521;
25, 492 2 69 71 436;
26, 450 2 71 67 495;
27, 460 2 73 81 481;
28, 477 1 74 82 508;
29, 463 1 73 93 528;
30, 487 2 71 69 471;
31, 453 2 69 71 -999;
