1, 571 1 69 86 471;
2, 443 1 71 90 502;
3, 493 1 73 81 516;
4, 469 1 74 77 471;
5, 462 1 73 84 514;
6, 464 1 76 86 474;
7, 463 2 66 81 441;
8, 455 2 68 62 483;
9, 448 2 61 36 513;
10, 461 2 62 86 498;
11, 469 2 64 82 437;
12, 433 2 62 74 422;
13, 500 1 71 77 475;
14, 468 1 73 81 480;
15, 446 1 74 79 532;
16, 469 1 76 65 464;
17, 464 1 74 77 480;
18, 432 1 78 62 553;
19, 519 2 68 88 458;
20, 472 2 69 63 444;
21, 455 2 62 44 515;
22, 465 2 64 67 474;
23, 438 2 66 72 473;
24, 484 2 64 52 433;
25, 519 1 69 95 453;
26, 430 1 71 79 447;
27, 426 1 73 78 414;
28, 463 2 74 63 476;
29, 461 1 73 75 520;
30, 475 2 71 71 414;
31, 420 2 69 77 -999;
