1, 485 2 69 59 553;
2, 547 2 76 95 496;
3, 513 2 71 61 509;
4, 480 2 73 70 467;
5, 476 2 74 74 515;
6, 509 2 71 67 329;
7, 474 1 61 75 550;
8, 500 1 62 95 624;
9, 503 1 64 101 548;
10, 493 1 66 93 512;
11, 487 1 68 98 482;
12, 466 1 62 86 488;
13, 499 2 71 74 501;
14, 498 2 78 78 494;
15, 469 2 73 72 489;
16, 482 2 74 79 483;
17, 486 2 76 82 514;
18, 500 2 73 68 458;
19, 493 1 62 82 507;
20, 465 1 64 95 541;
21, 478 1 66 88 513;
22, 476 1 68 88 470;
23, 471 1 69 101 478;
24, 475 1 64 77 414;
25, 467 2 69 67 462;
26, 484 2 71 52 478;
27, 486 2 73 70 444;
28, 464 1 74 77 528;
29, 494 1 73 84 473;
30, 433 1 71 86 531;
31, 508 1 69 95 -999;
