1, 539 1 69 74 564;
2, 495 1 73 81 490;
3, 510 1 76 82 531;
4, 499 1 74 77 535;
5, 484 1 73 78 550;
6, 524 1 71 74 528;
7, 493 2 61 72 533;
8, 509 2 64 95 480;
9, 489 2 68 98 516;
10, 477 2 66 93 608;
11, 513 2 64 71 499;
12, 503 2 62 69 431;
13, 493 1 71 56 505;
14, 511 1 74 69 494;
15, 491 1 78 81 527;
16, 490 1 76 86 527;
17, 518 1 74 86 535;
18, 501 1 73 81 503;
19, 508 2 62 57 551;
20, 484 2 66 88 519;
21, 484 2 69 95 547;
22, 492 2 68 103 561;
23, 458 2 66 70 566;
24, 523 2 64 74 537;
25, 489 1 69 69 485;
26, 484 1 71 61 518;
27, 496 1 73 78 532;
28, 519 2 74 111 532;
29, 483 1 73 68 524;
30, 490 1 71 71 487;
31, 491 2 69 57 -999;
