1, 524 1 69 90 327;
2, 536 1 69 101 503;
3, 522 1 76 90 494;
4, 519 1 74 82 463;
5, 490 1 73 88 449;
6, 502 1 71 79 366;
7, 502 2 61 84 361;
8, 495 2 61 75 508;
9, 492 2 68 103 513;
10, 467 2 66 98 528;
11, 506 2 64 101 500;
12, 527 2 62 67 446;
13, 501 1 71 79 277;
14, 524 1 71 74 483;
15, 477 1 78 81 451;
16, 488 1 76 86 497;
17, 497 1 74 86 463;
18, 480 1 73 81 487;
19, 463 2 62 101 343;
20, 471 2 62 86 426;
21, 478 2 69 79 533;
22, 475 2 68 93 516;
23, 486 2 66 93 479;
24, 475 2 64 82 418;
25, 519 1 69 101 508;
26, 491 1 71 79 478;
27, 484 1 73 88 508;
28, 515 1 74 90 515;
29, 498 1 73 81 516;
30, 479 1 71 79 518;
31, 491 1 69 95 -999;
