1, 504 1 69 90 311;
2, 506 1 69 86 252;
3, 500 1 76 86 328;
4, 522 1 74 82 349;
5, 494 1 73 88 318;
6, 495 1 71 65 340;
7, 516 2 61 93 383;
8, 495 2 61 84 419;
9, 487 2 68 98 500;
10, 469 2 66 98 503;
11, 519 2 64 106 482;
12, 479 2 62 106 395;
13, 505 1 71 77 320;
14, 490 1 71 71 383;
15, 483 1 78 78 367;
16, 484 1 76 57 408;
17, 504 1 74 79 359;
18, 490 1 73 81 357;
19, 558 2 62 106 329;
20, 490 2 62 95 391;
21, 466 2 69 90 523;
22, 485 2 68 103 492;
23, 471 2 66 93 476;
24, 482 2 64 90 348;
25, 505 1 69 101 464;
26, 514 1 71 71 356;
27, 500 1 73 81 320;
28, 515 1 74 79 551;
29, 467 1 73 78 554;
30, 493 1 71 82 480;
31, 508 1 69 90 -999;
