1, 524 1 69 90 549;
2, 492 1 73 93 541;
3, 495 1 76 95 531;
4, 501 1 74 90 546;
5, 500 1 73 93 528;
6, 503 1 71 86 570;
7, 533 2 61 72 524;
8, 511 2 64 82 495;
9, 476 2 68 103 530;
10, 507 2 66 78 512;
11, 478 2 64 86 485;
12, 504 2 62 90 514;
13, 525 1 71 86 509;
14, 497 1 74 86 516;
15, 462 1 78 88 541;
16, 503 1 76 86 549;
17, 515 1 74 86 498;
18, 481 1 73 88 526;
19, 533 2 62 74 526;
20, 482 2 66 84 467;
21, 464 2 69 82 554;
22, 503 2 68 98 549;
23, 494 2 66 84 519;
24, 474 2 64 95 536;
25, 527 1 69 90 542;
26, 501 1 71 86 530;
27, 491 1 73 88 512;
28, 526 2 74 82 549;
29, 502 1 73 81 550;
30, 501 2 71 90 514;
31, 511 1 69 86 -999;
