1, 519 2 69 65 578;
2, 509 2 73 70 485;
3, 521 2 76 71 520;
4, 499 2 74 95 474;
5, 463 2 73 75 463;
6, 482 2 71 74 541;
7, 520 1 61 75 480;
8, 494 1 64 79 562;
9, 484 1 68 72 554;
10, 491 1 66 78 577;
11, 523 1 64 43 515;
12, 482 1 62 71 557;
13, 509 2 71 63 466;
14, 458 2 74 79 441;
15, 440 2 78 78 494;
16, 470 2 76 101 443;
17, 482 2 74 79 405;
18, 402 2 73 70 505;
19, 531 1 62 74 497;
20, 477 1 66 88 487;
21, 471 1 69 95 540;
22, 487 1 68 75 531;
23, 475 1 66 84 507;
24, 453 1 64 42 527;
25, 455 2 69 61 464;
26, 469 2 71 61 482;
27, 449 2 73 53 493;
28, 496 2 74 101 482;
29, 464 1 73 93 481;
30, 494 2 71 71 517;
31, 498 1 69 65 -999;
