1, 476 2 69 59 494;
2, 438 2 73 81 442;
3, 453 2 76 95 478;
4, 450 2 74 95 500;
5, 450 2 73 75 441;
6, 452 2 71 61 438;
7, 460 1 61 72 447;
8, 468 1 64 61 463;
9, 397 1 68 81 521;
10, 476 1 66 72 499;
11, 469 1 64 57 439;
12, 436 1 62 77 432;
13, 457 2 71 35 448;
14, 449 2 74 86 409;
15, 413 2 78 81 443;
16, 434 2 76 95 453;
17, 456 2 74 67 449;
18, 435 2 73 60 495;
19, 454 1 62 71 489;
20, 438 1 66 81 436;
21, 443 1 69 79 455;
22, 453 1 68 68 512;
23, 439 1 66 75 469;
24, 467 1 64 48 424;
25, 463 2 69 74 483;
26, 429 2 71 69 474;
27, 444 2 73 72 453;
28, 456 1 74 67 491;
29, 441 1 73 81 472;
30, 454 2 71 77 452;
31, 465 2 69 86 -999;
