1, 498 1 69 101 322;
2, 496 1 69 79 349;
3, 461 1 76 86 378;
4, 466 1 74 86 425;
5, 487 1 73 84 460;
6, 477 1 71 86 427;
7, 478 2 61 75 151;
8, 470 2 61 75 494;
9, 479 2 68 81 506;
10, 474 2 66 78 472;
11, 471 2 64 79 486;
12, 486 2 62 86 239;
13, 461 1 71 82 256;
14, 462 1 71 79 361;
15, 423 1 78 81 382;
16, 476 1 76 86 436;
17, 464 1 74 82 459;
18, 486 1 73 98 413;
19, 437 2 62 77 170;
20, 455 2 62 90 470;
21, 468 2 69 90 521;
22, 466 2 68 84 477;
23, 443 2 66 78 435;
24, 446 2 64 74 267;
25, 467 1 69 95 382;
26, 428 1 71 69 506;
27, 483 1 73 84 400;
28, 472 1 74 86 491;
29, 482 1 73 75 481;
30, 444 1 71 77 468;
31, 486 1 69 90 -999;
